License Issue Date,License Number,Animal's Name,Species,Primary Breed,Secondary Breed,ZIP Code
December 18 2015,S107948,Zen,Cat,Domestic Longhair,Mix,98117
June 14 2016,S116503,Misty,Cat,Siberian,,98117
June 16 2016,S116742,Frankie Lee Jones,Cat,Domestic Shorthair,,
August 04 2016,S119301,Lyra,Cat,Mix,,98121
November 08 2016,73859,Minnie,Cat,Domestic Shorthair,,98106
April 11 2017,133966,Charlie,Cat,Domestic Shorthair,,98102
June 06 2017,208553,Puck,Cat,Russian Blue,,98107
June 10 2017,142312,Frankie,Cat,Domestic Shorthair,,98107
September 22 2017,730786,Pepper,Cat,Domestic Shorthair,,98146
September 26 2017,273798,Cathol,Cat,Domestic Shorthair,,98108
January 19 2018,895915,Emily,Cat,Domestic Medium Hair,,98103
February 13 2018,964371,George,Cat,Domestic Shorthair,,98118
February 13 2018,964372,Jet,Cat,Domestic Shorthair,,98118
February 17 2018,S140000,Wilbur,Cat,Domestic Shorthair,,98103
March 20 2018,272327,Slightly,Cat,Manx,,98102
April 12 2018,S141564,Kevin Boots Ewing,Cat,Domestic Shorthair,Mix,98125
April 17 2018,282510,Violet,Cat,Domestic Medium Hair,,98144
April 20 2018,214982,Faith,Cat,Domestic Shorthair,,98116
April 20 2018,214983,Tanner,Cat,Domestic Medium Hair,,98116
April 26 2018,S109975,Simon,Cat,American Shorthair,Siamese,98126
May 02 2018,83448,North Star,Cat,Domestic Shorthair,Mix,98133
May 16 2018,S126432,Chico,Cat,Domestic Shorthair,Mix,98122
June 22 2018,964224,Hudson,Cat,Domestic Shorthair,,98118
July 10 2018,85322,Zen,Cat,Domestic Shorthair,Siamese,98105
July 26 2018,S131486,Estrela,Cat,LaPerm,,98103
August 13 2018,578368,Lucky,Cat,Oriental Shorthair,Mix,98106
August 30 2018,129654,Daisy,Cat,Domestic Longhair,,98144
August 30 2018,S121902,Buffy,Cat,Siamese,European Shorthair,98107
August 31 2018,S120217,Leeloo,Cat,Domestic Shorthair,,98102
August 31 2018,S120218,Zorg,Cat,Domestic Shorthair,,98102
September 08 2018,8000753,Digger,Cat,Domestic Longhair,,98133
September 12 2018,S103858,Piper,Cat,Domestic Shorthair,,98144
September 16 2018,8000965,Gamzee,Cat,Maine Coon,Mix,98103
September 16 2018,8000966,Nepeta,Cat,American Shorthair,Mix,98103
October 08 2018,273248,Cloudy,Cat,Domestic Shorthair,,98122
October 21 2018,715838,Little Bear,Cat,Domestic Shorthair,,98122
October 31 2018,S126958,Bailey,Cat,Domestic Shorthair,,98119
November 18 2018,118752,Princess,Cat,Domestic Shorthair,,98103
November 20 2018,8001722,Princess,Cat,Siamese,,98117
December 18 2018,8001785,Eloise,Cat,Pixie-Bob,Mix,98107
December 20 2018,74226,Maggie,Cat,Domestic Shorthair,,98102
December 20 2018,74227,Charlie,Cat,Domestic Shorthair,,98102
December 21 2018,73546,Sunbeam,Cat,Domestic Shorthair,,98107
January 01 2019,8004292,Koshka,Cat,Russian Blue,American Shorthair,98107
January 02 2019,8004303,Pepper,Cat,Domestic Shorthair,Mix,98117
January 02 2019,8004304,Sherman,Cat,Domestic Shorthair,Mix,98117
January 02 2019,8004313,Lellow,Cat,Domestic Shorthair,Mix,98119
January 02 2019,8004341,Cowboy,Cat,Domestic Medium Hair,Mix,98119
January 02 2019,8004343,Evelyn,Cat,Domestic Medium Hair,Mix,98133
January 03 2019,S150240,Wilson,Cat,Domestic Shorthair,Mix,98115
January 03 2019,S148243,Pumpkin,Cat,Domestic Shorthair,Mix,98199
January 03 2019,S150245,Esco,Cat,Siamese,Mix,98106
January 04 2019,S150247,Vinnie,Cat,Domestic Shorthair,,98144
January 04 2019,S150246,Norman,Cat,Domestic Shorthair,,98144
January 04 2019,S150249,Sassy,Cat,Domestic Shorthair,Mix,98104
January 04 2019,S150251,Charlie,Cat,Domestic Shorthair,Mix,98109
January 04 2019,897202,Magic,Cat,Domestic Shorthair,,98146
January 05 2019,8004409,Scully,Cat,Domestic Shorthair,,98125
January 05 2019,S146121,Slash,Cat,Domestic Medium Hair,Mix,98155
January 05 2019,8004418,Emme,Cat,Domestic Shorthair,Mix,98136
January 05 2019,8004419,Moose,Cat,Domestic Shorthair,Mix,98136
January 06 2019,S142715,Charlie,Cat,Domestic Shorthair,Mix,98103
January 06 2019,8004432,Willow,Cat,Ragdoll,Mix,98115
January 06 2019,S151211,Luna,Cat,Domestic Shorthair,Mix,98108
January 06 2019,S151212,Eclipse,Cat,Domestic Shorthair,Mix,98108
January 06 2019,S151215,Annie,Cat,Domestic Shorthair,Domestic Shorthair,98112
January 06 2019,S151216,Conoco,Cat,Domestic Shorthair,Mix,98119
January 06 2019,S151217,Texaco,Cat,Domestic Shorthair,Mix,98119
January 06 2019,8004446,Quesadilla,Cat,Mix,Mix,98116
January 06 2019,8004447,Smokey,Cat,Mix,Mix,98116
January 07 2019,8004472,Arlo,Cat,RagaMuffin,Maine Coon,98126
January 08 2019,8004498,Bazooka,Cat,Mix,Mix,98126
January 08 2019,8004499,Mongo,Cat,Mix,Mix,98126
January 09 2019,S148246,Benson,Cat,Domestic Shorthair,Mix,98119
January 09 2019,8004529,Rosemary,Cat,American Shorthair,Mix,98107
January 10 2019,S142718,Lola,Cat,Domestic Shorthair,Mix,98102
January 10 2019,S142719,Sara Lee,Cat,Domestic Shorthair,Mix,98103
January 10 2019,S146126,Harpo,Cat,Domestic Shorthair,Mix,98115
January 10 2019,S148247,Sasha,Cat,Domestic Shorthair,Mix,98117
January 11 2019,S150261,Yeti,Cat,Maine Coon,Mix,98116
January 11 2019,S150264,Emme,Cat,Domestic Shorthair,Mix,98117
January 12 2019,8004595,Moushi,Cat,Maine Coon,,98105
January 12 2019,8004598,Tiki,Cat,Maine Coon,,98116
January 12 2019,8004614,Hazel,Cat,Domestic Shorthair,Mix,98126
January 12 2019,8004616,Cuba,Cat,Siberian,,98103
January 12 2019,S151227,Batman,Cat,Domestic Longhair,Mix,98109
January 12 2019,S151232,Albert,Cat,Domestic Longhair,Mix,98115
January 13 2019,S142723,Motor,Cat,Domestic Shorthair,Mix,98122
January 13 2019,S151233,Marley,Cat,Maine Coon,Mix,98107
January 13 2019,S151242,Oscar,Cat,Domestic Shorthair,Mix,98103
January 14 2019,8004682,Abdi,Cat,Domestic Longhair,Mix,98105
January 15 2019,8004684,Nugget,Cat,American Shorthair,Mix,98115
January 15 2019,577734,Baby Cakes,Cat,Domestic Longhair,Ragdoll,98115
January 15 2019,8004691,Maya,Cat,Domestic Shorthair,Mix,98122
January 16 2019,S119211,Juniper,Cat,Domestic Medium Hair,Mix,98102
January 16 2019,S122463,Zora,Cat,Domestic Medium Hair,,98117
January 16 2019,S122464,Eli,Cat,Domestic Medium Hair,,98117
January 16 2019,28144,Phoebe,Cat,Domestic Shorthair,,98103
January 16 2019,28145,Floyd,Cat,Siamese,Domestic Shorthair,98103
January 17 2019,19013,Rigby,Cat,Domestic Medium Hair,,98117
January 17 2019,S127345,Abby,Cat,Domestic Shorthair,,98102
January 17 2019,S124990,Peabody,Cat,Domestic Shorthair,Mix,98108
January 17 2019,16954,Sisco,Cat,Domestic Shorthair,,98117
January 17 2019,16955,Pancho,Cat,Domestic Shorthair,,98117
January 17 2019,19103,Lucy,Cat,Domestic Shorthair,,98117
January 17 2019,22278,Georgia,Cat,Domestic Shorthair,,98117
January 17 2019,S124963,Serena,Cat,Siamese,Mix,98115
January 17 2019,S150277,Belle,Cat,Domestic Shorthair,Mix,98116
January 17 2019,S148259,Jasmine,Cat,Domestic Medium Hair,Mix,98122
January 17 2019,S148260,Fergus,Cat,Domestic Medium Hair,Mix,98122
January 17 2019,22257,Arrow,Cat,Domestic Shorthair,,98115
January 17 2019,29039,Ada,Cat,Domestic Shorthair,Mix,98136
January 17 2019,22179,Buddy,Cat,Siberian,,98116
January 17 2019,21948,Chewie,Cat,Persian,,98146
January 17 2019,22633,Brie,Cat,American Shorthair,,98105
January 18 2019,21779,Apollo,Cat,Domestic Shorthair,,98104
January 18 2019,21780,Bobo,Cat,Domestic Shorthair,,98104
January 18 2019,8004773,Abilene,Cat,Domestic Shorthair,Domestic Shorthair,98126
January 18 2019,19473,Diva,Cat,Oriental Shorthair,,98119
January 18 2019,19472,Doyly,Cat,Oriental Shorthair,,98119
January 18 2019,28386,Tess,Cat,Siamese,Domestic Shorthair,98126
January 18 2019,19487,Franklin,Cat,Domestic Shorthair,,98177
January 18 2019,S111008,Ninja,Cat,Domestic Medium Hair,,98177
January 18 2019,S111009,Suji,Cat,Domestic Shorthair,,98177
January 18 2019,S126095,Percy,Cat,Domestic Shorthair,,98144
January 18 2019,S124979,George,Cat,Domestic Shorthair,Mix,98119
January 18 2019,8004791,Angus,Cat,Domestic Shorthair,Mix,98059
January 18 2019,S150282,Cookie,Cat,Domestic Shorthair,Mix,98121
January 18 2019,S126006,Simon,Cat,Domestic Longhair,,98118
January 18 2019,28324,Rue,Cat,Domestic Medium Hair,,98103
January 18 2019,S150284,Barnabas,Cat,LaPerm,,98107
January 18 2019,29146,Zoomacroom,Cat,Domestic Shorthair,Mix,98136
January 18 2019,29145,Ugnaught,Cat,Domestic Shorthair,Mix,98136
January 18 2019,22341,Hina,Cat,Domestic Medium Hair,,98117
January 18 2019,S150285,Trixie,Cat,Domestic Shorthair,Mix,98103
January 18 2019,22484,Carmen,Cat,Domestic Shorthair,,98105
January 18 2019,22485,Ember,Cat,Domestic Shorthair,,98105
January 18 2019,22219,Buggie,Cat,Domestic Shorthair,,98117
January 18 2019,S126064,Kaylee,Cat,Domestic Shorthair,Mix,98121
January 18 2019,8004800,Betty,Cat,Domestic Shorthair,Mix,98116
January 18 2019,S126728,Hobbes,Cat,Domestic Shorthair,,98102
January 18 2019,22538,Luna,Cat,Domestic Shorthair,,98121
January 19 2019,22437,Maili,Cat,Domestic Shorthair,,98115
January 19 2019,22438,Matthew,Cat,Domestic Shorthair,,98115
January 19 2019,22476,Nebula,Cat,Domestic Shorthair,,98105
January 19 2019,29059,Sophia,Cat,Siamese,Mix,98103
January 19 2019,29058,Bella,Cat,Domestic Shorthair,,98103
January 19 2019,29060,Zoe,Cat,Burmese,,98103
January 19 2019,19491,Missy,Cat,Domestic Longhair,,98199
January 19 2019,19490,Max,Cat,Domestic Longhair,,98199
January 19 2019,28227,Chloe,Cat,Domestic Shorthair,,98122
January 19 2019,28206,Lilly,Cat,Abyssinian,Mix,98199
January 19 2019,S150288,Cupid,Cat,Domestic Shorthair,Mix,98109
January 19 2019,S150289,Indica,Cat,Domestic Shorthair,Bombay,98109
January 19 2019,8004822,Theo,Cat,Domestic Shorthair,Mix,98122
January 19 2019,S150290,Boy,Cat,Domestic Shorthair,Mix,98117
January 19 2019,22013,Ella,Cat,Domestic Shorthair,,98117
January 19 2019,29157,Apollo (Polly),Cat,American Shorthair,,98112
January 19 2019,29158,Artemis (Missy),Cat,American Shorthair,,98112
January 19 2019,22289,Sylvester,Cat,Domestic Shorthair,,98103
January 20 2019,S125773,Velvet,Cat,Domestic Shorthair,Mix,98101
January 20 2019,S125774,Rory,Cat,Domestic Shorthair,Mix,98101
January 20 2019,22463,Macallan,Cat,Himalayan,,98112
January 20 2019,8004850,Bones,Cat,Domestic Shorthair,Mix,98126
January 20 2019,28221,Yuki,Cat,Siamese,Domestic Shorthair,98103
